,method,psnr,ssim,image,sigma
0,noisy,28.124970414555847,0.6221126157714661,House,10.0
1,tensor_train_stacked,23.67257045259705,0.6232097559187586,House,10.0
2,tensor_train_stacked_upscale,24.053298124777722,0.6456987623917526,House,10.0
3,noisy_blurred,24.386344927444785,0.6940617705430956,House,10.0
0,noisy,22.170222779875573,0.37032802216454025,House,20.0
1,tensor_train_stacked,23.634429238733432,0.6041744827086112,House,20.0
2,tensor_train_stacked_upscale,24.026307568938066,0.6294662464967175,House,20.0
3,noisy_blurred,24.29879020046012,0.682777804412379,House,20.0
0,noisy,18.775863437359188,0.25646549302614013,House,30.0
1,tensor_train_stacked,23.6568762251118,0.5920940231666086,House,30.0
2,tensor_train_stacked_upscale,23.97255267357486,0.6168121049156784,House,30.0
3,noisy_blurred,24.1253090975273,0.6654088999735429,House,30.0
0,noisy,16.441484468369325,0.19392066025917057,House,40.0
1,tensor_train_stacked,23.496884136731584,0.5688849053214659,House,40.0
2,tensor_train_stacked_upscale,23.81161575924821,0.5973487082518254,House,40.0
3,noisy_blurred,23.907370785248556,0.6464368028435726,House,40.0
0,noisy,14.714026668177421,0.15454445635093153,House,50.0
1,tensor_train_stacked,23.290989422753256,0.5457808986793846,House,50.0
2,tensor_train_stacked_upscale,23.568955291783187,0.5740719841815385,House,50.0
3,noisy_blurred,23.570329716267576,0.6243363502913287,House,50.0
0,noisy,13.387495504016043,0.1270675223016988,House,60.0
1,tensor_train_stacked,22.95949836228633,0.5322048882213894,House,60.0
2,tensor_train_stacked_upscale,23.239243374237894,0.5646425750022858,House,60.0
3,noisy_blurred,23.18432696584088,0.6035058807316688,House,60.0
0,noisy,12.349437600718204,0.10628825775510096,House,70.0
1,tensor_train_stacked,22.59717238863616,0.5110621044692008,House,70.0
2,tensor_train_stacked_upscale,22.840465700934768,0.542376110831563,House,70.0
3,noisy_blurred,22.7376880609693,0.5846986097624485,House,70.0
0,noisy,11.48296230081794,0.09088901477669196,House,80.0
1,tensor_train_stacked,22.008074890834042,0.49249931241571954,House,80.0
2,tensor_train_stacked_upscale,22.26314197831543,0.5273895726860931,House,80.0
3,noisy_blurred,22.112449493703117,0.5632224248000023,House,80.0
0,noisy,10.785444967490957,0.07865282781353905,House,90.0
1,tensor_train_stacked,21.484226887626146,0.4693188947955529,House,90.0
2,tensor_train_stacked_upscale,21.72095638885352,0.5091630806627677,House,90.0
3,noisy_blurred,21.55553160921119,0.5395119989645788,House,90.0
0,noisy,10.207801737108682,0.06891016843370462,House,100.0
1,tensor_train_stacked,20.828640235077003,0.4483671495161427,House,100.0
2,tensor_train_stacked_upscale,21.09105472482501,0.49055190088168255,House,100.0
3,noisy_blurred,21.01018239671113,0.5214052035509381,House,100.0
0,noisy,28.17174951335598,0.6332688173096711,Lenna,10.0
1,tensor_train_stacked,20.47401396196678,0.5940531013781855,Lenna,10.0
2,tensor_train_stacked_upscale,21.071826049102196,0.6013532284301774,Lenna,10.0
3,noisy_blurred,24.869557860378748,0.7271756094901746,Lenna,10.0
0,noisy,22.26310299481132,0.38494317495956903,Lenna,20.0
1,tensor_train_stacked,21.096662740100363,0.5882418899414112,Lenna,20.0
2,tensor_train_stacked_upscale,21.631177131881746,0.5975711826310303,Lenna,20.0
3,noisy_blurred,24.759062931992858,0.7148008254759688,Lenna,20.0
0,noisy,18.881542254485264,0.2672542049689557,Lenna,30.0
1,tensor_train_stacked,21.907017203422928,0.5832347368790116,Lenna,30.0
2,tensor_train_stacked_upscale,22.297650307040758,0.5944845768758363,Lenna,30.0
3,noisy_blurred,24.554158050832807,0.6972005278524014,Lenna,30.0
